图片文件夹,x,y,z
PIC_20190518_131630,615.8001,899.5836,20.0918
PIC_20190518_132155,615.9637,897.0584,20.0981
PIC_20190518_132254,614.4911,896.7777,20.1001
PIC_20190518_132416,613.9513,897.8255,20.1003
PIC_20190518_132455,612.8215,896.7525,20.1044
PIC_20190518_132533,611.6093,897.8469,20.1015
PIC_20190518_132619,611.6878,899.3137,20.0982
PIC_20190518_132732,610.5214,899.4908,20.0986
PIC_20190518_132850,610.0457,897.9619,20.0989
PIC_20190518_132927,609.4077,896.4969,20.1028
PIC_20190518_133008,608.8984,897.7625,20.0993
PIC_20190518_133117,608.1609,900.2744,20.1006
PIC_20190518_133222,607.1471,897.0763,20.0999
PIC_20190518_133359,605.9751,899.6659,20.098
PIC_20190518_133703,603.7301,898.5114,20.096
PIC_20190518_133738,603.8948,899.9706,20.0977
PIC_20190518_133934,600.9647,897.527,20.0894
PIC_20190518_134403,596.4088,929.8456,20.0996
PIC_20190518_134530,593.5297,930.0566,20.0982
PIC_20190518_134644,592.8897,929.1739,20.1001
PIC_20190518_134718,594.1714,928.9052,20.1
PIC_20190518_134827,597.2568,928.5502,20.1007
PIC_20190518_134906,598.9114,928.178,20.1012
PIC_20190518_134951,600.6338,927.9414,20.1029
PIC_20190518_135027,602.0946,927.7965,20.1027
PIC_20190518_135349,598.6611,926.7174,20.1015
PIC_20190518_135701,597.3511,925.5643,20.0997
PIC_20190518_135737,595.9742,925.6026,20.1
PIC_20190518_135814,594.4765,925.9189,20.0962
PIC_20190518_135850,593.1152,926.0742,20.0976
PIC_20190518_140138,594.5302,924.6807,20.091
PIC_20190518_140255,597.1998,924.2907,20.0956
PIC_20190518_140900,599.3601,922.7332,20.0918
PIC_20190518_140939,598.1968,922.7928,20.0937
PIC_20190518_141123,594.802,923.0388,20.0943
PIC_20190518_141405,594.9684,921.6148,20.1017
PIC_20190518_141459,596.2757,921.4189,20.1014
PIC_20190518_141601,598.6528,921.2589,20.0982
PIC_20190518_141658,601.3247,920.9463,20.0952
PIC_20190518_141803,600.2511,919.4441,20.0931
PIC_20190518_141839,599.072,919.3212,20.0937
PIC_20190518_141910,598.0084,919.3918,20.0963
PIC_20190518_142006,595.506,919.4138,20.0975
PIC_20190518_142153,591.4162,919.8048,20.0988
PIC_20190518_142329,594.6291,918.3496,20.0966
PIC_20190518_142512,599.3807,917.8156,20.09
PIC_20190518_142606,601.6546,917.5417,20.0894
PIC_20190518_142829,599.1727,916.5958,20.09
PIC_20190518_142903,598.0331,916.7418,20.0895
PIC_20190518_142944,596.9453,916.8464,20.0932
PIC_20190518_143157,594.4478,917.0196,20.0914
PIC_20190518_143229,592.8766,916.5482,20.0906
PIC_20190518_143302,591.8909,915.2888,20.0914
PIC_20190518_143405,595.7306,914.6951,20.0951
PIC_20190518_144330,597.1585,914.4621,20.094
PIC_20190518_144441,599.3911,914.2006,20.0942
PIC_20190518_144513,600.949,914.0581,20.0901
PIC_20190518_144618,602.9014,912.2755,20.0879
PIC_20190518_144653,600.4221,910.8809,20.0902
PIC_20190518_144802,595.0419,909.7277,20.0903
PIC_20190518_144839,591.3742,910.1894,20.0897
PIC_20190518_144955,585.8867,911.9993,20.0866
PIC_20190518_145315,583.8579,906.4572,20.0922
PIC_20190518_145353,586.8623,906.4549,20.0915
PIC_20190518_145550,585.1197,899.706,20.0922
PIC_20190518_145628,582.6435,901.632,20.092
PIC_20190518_150420,580.7723,900.3457,20.0928
PIC_20190518_150718,579.0091,900.6063,20.0948
PIC_20190518_151357,572.529,905.094,20.0968
PIC_20190518_151449,573.1566,910.2348,20.0904
PIC_20190518_151711,579.7157,907.2662,20.0931
PIC_20190518_151749,580.9302,908.3782,20.0923
PIC_20190518_151902,576.3688,914.4793,20.0918
PIC_20190518_151944,572.6538,914.8137,20.0981
