dir,x,y,z
PIC_20190601_173736,591.8394,896.3013,20.0804
PIC_20190601_174003,594.0112,896.4280,20.0730
PIC_20190601_174157,601.9222,895.6819,20.0932
PIC_20190601_174244,605.2738,896.6786,20.1322
PIC_20190601_174316,608.3139,899.3179,20.1468
PIC_20190601_174348,609.7219,899.3641,20.1537
PIC_20190601_174609,616.5979,899.8185,20.1490
PIC_20190601_174637,618.8478,899.8751,20.1719
PIC_20190601_174718,618.9629,902.0512,20.1778
PIC_20190601_174827,620.7238,897.6566,20.1719
PIC_20190601_174915,618.7161,897.8840,20.1824
PIC_20190601_175258,604.4337,899.0582,20.1213
PIC_20190601_175341,602.9227,896.8436,20.1140
PIC_20190601_175611,612.8527,894.9588,20.1276
PIC_20190601_181105,602.2979,887.8008,20.1033
PIC_20190601_181243,607.9553,887.4443,20.0931
PIC_20190601_181443,604.1992,884.0980,20.1351
PIC_20190601_181524,601.9726,883.2656,20.1125
PIC_20190601_181706,606.7701,880.0305,20.1314
PIC_20190601_181754,606.7000,877.0653,20.1831
PIC_20190601_181826,604.3689,877.0027,20.1485
PIC_20190601_181930,602.0341,874.9207,20.1229
PIC_20190601_182008,604.7322,874.4682,20.1488
PIC_20190601_182031,604.8325,872.0361,20.1574
PIC_20190601_182104,602.0894,872.0203,20.1339
PIC_20190601_182130,602.0299,870.2724,20.1420
PIC_20190601_182246,604.5656,869.7962,20.1646
PIC_20190601_182421,604.1934,865.4495,20.1684
PIC_20190601_182559,602.5383,858.0521,20.1758
PIC_20190601_182806,598.0148,858.8021,20.0453
PIC_20190601_182848,597.3685,857.0515,19.6557
PIC_20190601_182933,593.8769,857.3760,20.0607
PIC_20190601_183024,592.1774,859.2603,20.0660
PIC_20190601_183103,594.4412,860.4580,20.0571
PIC_20190601_183219,599.9421,862.4298,20.0433
PIC_20190601_183259,596.4135,865.0496,20.0564
PIC_20190601_183451,596.6906,867.3055,20.0613
PIC_20190601_183528,599.5646,868.9484,20.0494
PIC_20190601_183602,596.4262,870.3967,20.0606
PIC_20190601_183638,594.1447,871.1533,20.0690
PIC_20190601_183733,592.8854,875.4827,20.8586
PIC_20190601_183805,595.6805,875.7767,20.8374
PIC_20190601_184208,592.8032,888.3304,20.8527
PIC_20190601_184722,592.8660,897.7421,20.0953
PIC_20190601_185515,600.1796,886.3332,20.0664
PIC_20190601_185546,598.1210,883.9016,20.0749
PIC_20190601_185632,599.9989,882.2174,20.0685
PIC_20190601_185722,598.0482,880.1333,20.0717
PIC_20190601_185819,600.0596,878.4663,20.0611
PIC_20190601_185946,600.2177,874.1289,20.0602
