dir,x,y,z
PIC_20190601_151743,608.4278,924.1145,20.6663
PIC_20190601_152102,606.1892,923.9415,20.7091
PIC_20190601_152659,600.0829,919.3281,20.3913
PIC_20190601_153008,611.7902,918.9988,19.6356
PIC_20190601_153131,608.7772,915.6855,19.8309
PIC_20190601_153335,599.1701,914.6703,20.2352
PIC_20190601_153457,594.8982,913.7643,20.0918
PIC_20190601_153613,597.1342,909.2113,20.0935
PIC_20190601_153648,600.1878,909.3584,20.1257
PIC_20190601_153716,603.1241,909.3067,20.1942
PIC_20190601_153755,606.7492,909.3856,20.0558
PIC_20190601_154248,598.4730,905.2019,20.1008
PIC_20190601_154334,594.9399,904.4003,19.9320
PIC_20190601_154421,597.1418,901.8960,19.9886
PIC_20190601_154546,603.3457,902.7617,20.2454
PIC_20190601_154850,613.2633,898.4798,19.3990
PIC_20190601_155022,604.0761,899.4797,20.2661
PIC_20190601_155300,595.8937,894.8698,19.9873
PIC_20190601_155502,606.8647,897.1357,20.0968
PIC_20190601_155704,614.3189,898.2126,19.2204
PIC_20190601_155741,614.2354,894.3317,19.1597
PIC_20190601_155925,604.3380,896.1775,20.2149
PIC_20190601_160013,601.0205,894.1342,20.1683
PIC_20190601_160128,595.3617,890.4934,19.9973
PIC_20190601_160242,603.9505,889.6084,20.0378
PIC_20190601_160323,608.7932,890.4704,19.7538
PIC_20190601_160905,612.3420,887.7028,19.2381
PIC_20190601_161133,601.5643,885.6893,20.0070
PIC_20190601_161232,597.0357,885.8339,20.0307
PIC_20190601_161521,600.1391,880.3816,19.8191
PIC_20190601_161602,603.2975,881.2091,19.6563
PIC_20190601_161637,606.8238,882.1274,19.4912
PIC_20190601_161727,610.8303,879.7839,18.9151
PIC_20190601_161838,602.8443,876.3595,19.3864
PIC_20190601_162011,599.4588,876.6976,19.6112
PIC_20190601_162158,598.4419,874.4920,19.5461
PIC_20190601_162353,599.9736,868.9026,19.1714
PIC_20190601_162528,592.3065,869.4229,19.8223
PIC_20190601_162640,594.3915,864.7689,19.5333
PIC_20190601_162808,598.9336,859.9275,19.0103
PIC_20190601_162931,592.4318,860.0529,19.6957
PIC_20190601_163226,596.6941,849.7083,19.0068
PIC_20190601_163553,587.9889,847.3984,19.9047
PIC_20190601_163638,591.5612,846.5245,19.5673
PIC_20190601_163753,595.8503,843.0590,19.0267
PIC_20190601_163829,592.2807,843.8240,19.4501
PIC_20190601_163944,586.1829,846.2421,20.0648
PIC_20190601_164101,589.1302,842.8817,19.7975
PIC_20190601_164155,592.3076,842.0744,19.4342
PIC_20190601_164239,595.7096,841.5077,19.0489
PIC_20190601_164332,596.5375,838.6175,18.9290
PIC_20190601_164405,593.0980,839.0738,19.2860
PIC_20190601_164512,589.9317,839.8299,19.6644
PIC_20190601_164708,591.8917,836.4935,19.3814
PIC_20190601_164858,592.5293,833.1318,19.1983
PIC_20190601_164930,590.3755,834.0285,19.4777
PIC_20190601_165059,585.9544,836.5347,19.9875
PIC_20190601_165304,588.3816,832.5441,19.6149
PIC_20190601_165343,591.1100,830.8623,19.2820
PIC_20190601_165436,593.3476,829.2909,18.9941
